symbol,timeframe,active,first_day,last_day,n,sha256
DNA,1d,0,18736,20657,1322,c0c0de991136be0791c49bd8684097b8e2ed2e7784b932b85ab313c336544e5e
DNLI,1d,1,17898,20658,1900,f3a36b61815183fe9c7bd4e0184c9c662c06b4ea7bdd00904ff140d02eccaecf
DNN,1d,1,17898,20658,1900,51b0d55967ed8c45d9c6e86e647beeb6f04ed800d745610369bd7b0ee57d9873
DOC,1d,0,17898,20657,1899,bc6a7c7090d683cfc2b26de81a785629135266df1a9d100174b0df98b5efec25
DOCN,1d,1,18710,20658,1340,621a87dfce8e3076cc2f32d57b267015970961417613a00385a842f34595af2f
DOV,1d,0,17898,20657,1899,ba091e16eb2e587931d09257c305df370e29ba76aae3c35eb081a70dfcabc68f
DOW,1d,0,17898,20657,1899,0c634694097bb9f688e320ed4cd89e98e2c15db3cc7577702ea77c72a1e85ec9
DPZ,1d,0,17898,20657,1899,e835127735bebfb1f802c27c90dd4f953f0cb37d235725a6b22a45e1fb2356cd
DRAM,1d,1,20545,20658,78,0bfb49a611788d3db1db3bc22c2f3517d5f2af4f1b52bda039f6d4d017ab8b03
DRI,1d,0,17898,20657,1899,72fd065f77575b8ec736ae1fe8b75bfadd1d17d54aebfaeec9e428faa148618e
DRIP,1d,0,17898,20657,1899,cd9b51c9b294f697e4d11b776cc1e6de8013b7236b77757ec9d7e5fbdb67f7c0
DTE,1d,0,17898,20657,1899,a2db59d707edeb1383905fddfca256ae982f0497ae65e612a444b5e7803766ef
DUK,1d,0,17898,20657,1899,7c720e5dc161ed723b7502e898a96e2af9651dabf05bd82dcdccc1ed0bf298a0
DVA,1d,0,17898,20657,1899,76c18c27d436fc543d91fb18f44bb0f8430d869f980f3f3cbb2ff08f2594787b
DVN,1d,0,17898,20657,1899,8dc3af1ad117576330fee4c65b31832bf0f4ba787e6177d4ab70083e428162ea
DWSN,1d,0,17898,20657,1899,c626533d00bf33d0a9b9a004eca9ccabf5a0ede7e19b02d4c5d493e6ad8eba40
DXC,1d,0,17898,20657,1899,ad591990418a5daf22eaea2787eef127658414ff415987de73f83bbbecc9e648
