day,n_rows,n_symbols,n_stocks,n_crypto,n_resolved,n_ungradable,n_pending,created_first_utc,created_last_utc,revisions,qualifies
2025-03-25,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-03-28,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-03-31,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-01,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-02,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-07,1,1,1,0,0,1,0,2026-09-07T20:15:05+00:00,2026-09-07T20:15:05+00:00,e38b39f0883fef71ab5ad5e9c8171fcbcb60ead7,0
2025-04-10,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-11,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-15,2,2,2,0,0,2,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-16,1,1,1,0,0,1,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
2025-04-17,3,3,3,0,0,3,0,2026-09-07T20:17:44+00:00,2026-09-07T20:17:44+00:00,60b7afafa3058356e02d6d68f5019a17a743d6b3,0
