h,k,weighting,beta_neutral,sharpe,t_nw,ann_ret,ann_vol,max_dd,calmar,beta,turnover,n_long_med,pool_med,acc,null,n_bets
42,10,equal,True,0.25147899990517075,0.5179738131842453,0.033031690886029724,0.13134969877598335,-0.2255796806161956,0.14643025823868552,-0.18437474483837032,8.111283005415194,10.0,634.0,0.5305776892430278,0.5138446215139443,20080
42,20,conviction,False,0.2924928966243681,0.6552900030886132,0.05589683109274071,0.19110491823165815,-0.3419675595904066,0.16345653125603912,-0.3815371010829158,11.523444976076556,20.0,634.0,0.5283117529880478,0.503461155378486,40160
42,20,conviction,True,0.5546173280776718,1.1272787132162603,0.06932984756861559,0.1250048349713773,-0.20194302386496357,0.3433139023162071,-0.1664284428068882,8.614813743428803,20.0,634.0,0.5283117529880478,0.503461155378486,40160
42,20,equal,False,-0.07056848494648077,-0.16812618547759065,-0.012907906304087044,0.18291318446012292,-0.32587000801032173,-0.039610599278219534,-0.39433583598150884,11.523444976076558,20.0,634.0,0.5283117529880478,0.503461155378486,40160
42,20,equal,True,0.0077498014050482135,0.01774904769291952,0.0008724529730780194,0.11257746198627805,-0.19348173229060073,0.004509226595964289,-0.1832026899155324,8.417225600818846,20.0,634.0,0.5283117529880478,0.503461155378486,40160
42,40,conviction,False,0.23086436469184915,0.5357244036501416,0.038078865932277224,0.16494042284569885,-0.27800975900465974,0.13696952966186696,-0.34263476526786163,11.523444976076556,40.0,634.0,0.5219621513944223,0.5133466135458168,80320
42,40,conviction,True,0.4714688868310222,1.0138163048686288,0.04736988763308737,0.10047298762699705,-0.1514326032527061,0.3128116839808792,-0.14752097851046733,9.00055752152982,40.0,634.0,0.5219621513944223,0.5133466135458168,80320
42,40,equal,False,-0.13861208432728808,-0.32983789665485375,-0.02142745902262385,0.15458579334273456,-0.2938343123186069,-0.07292361077078664,-0.3380398164275799,11.523444976076558,40.0,634.0,0.5219621513944223,0.5133466135458168,80320
42,40,equal,True,-0.11695906201598548,-0.28084378290121276,-0.010648868937120335,0.09104783121178667,-0.1573373701567664,-0.06768175244387338,-0.1562006546491697,8.816916399327443,40.0,634.0,0.5219621513944223,0.5133466135458168,80320
42,75,conviction,False,0.11318236822910166,0.2755969071774794,0.01408075840393235,0.12440770257987833,-0.21135957217399096,0.06661992290721087,-0.2618244122279074,11.523444976076556,75.0,634.0,0.5184926958831342,0.5294090305444887,150600
42,75,conviction,True,0.23911016147553432,0.5660100670044051,0.017179994938333592,0.07184970656335508,-0.11460574028778113,0.14990518708045258,-0.11429315935066767,9.552284850053482,75.0,634.0,0.5184926958831342,0.5294090305444887,150600
42,75,equal,False,-0.151772294974054,-0.36437770761673055,-0.018286044810440136,0.12048341769863992,-0.23311109922462162,-0.0784434755413342,-0.26305637335354853,11.523444976076556,75.0,634.0,0.5184926958831342,0.5294090305444887,150600
