h,target,model,k,s_net,s_sharpe,s_dd,s_tr,s_long,s_short,o_net,o_sharpe,o_dd,o_tr
5,relative,logit,10,-4.474187268875058e-05,-0.15284493581117667,-0.3965235924661133,209,0.0009964144766755826,-0.003597048147424071,0.6108626458161907,0.4403168265079432,-0.34598337950348496,69
5,relative,logit,25,-0.05372800574059127,-0.5889179767383496,-0.41075501483740595,209,0.00131002751011918,-0.0011531468652541817,0.24143093694504986,0.3459013964738266,-0.14551483715547797,69
5,relative,logit,50,-0.06990681940694324,-0.6423207731344961,-0.3505561707535498,209,0.0013651211852813646,-0.00045603677476057064,0.029402888276689094,-0.4549777156423681,-0.1525704682614265,69
5,relative,ens_lh,10,0.06728708607091008,-0.010091833850290756,-0.4393566174500086,209,0.0023401787947367487,-0.004925181763632698,0.7070407013041694,0.6263673764653084,-0.3269659746181542,69
5,relative,ens_lh,25,-0.04056671832606025,-0.405716753776111,-0.3856481812403921,209,0.0017488706193366824,-0.001236577066137118,0.26132171024303896,0.5670002717944106,-0.1229373037062265,69
5,relative,ens_lh,50,-0.05583975500831044,-0.5551843027475362,-0.3760698378868744,209,0.0016270476693891257,-0.0007523271318683965,0.020659621435396854,-0.4996128232806379,-0.23328174096906104,69
10,extremes10,logit,10,0.15615110501236298,0.7236390614968387,-0.19375043243172205,104,0.0032020110437802683,-0.014381409988946953,0.6768577989143792,1.9713242939244162,-0.07756521141585226,35
10,extremes10,logit,25,0.03452343674956595,0.20808716207291325,-0.17525731175720452,104,0.0022213730191758293,-0.0057090584688849625,0.3167338947748718,1.6623030615769763,-0.06363785800568553,35
10,extremes10,logit,50,-0.015367813540855315,-0.16064319368059243,-0.14904091929779162,104,0.00262605271674627,-0.0013447557323921985,0.07363632124971606,-0.01906198841273009,-0.07912642018728333,35
10,extremes10,ens_lh,10,0.1847612817052278,0.7610727362036707,-0.18541381514993724,104,0.004477447963515539,-0.015376622013089843,0.9406713976463902,3.136762835703201,-0.07011505222954625,35
10,extremes10,ens_lh,25,0.07335343189811853,0.7627036535450994,-0.12187640432302513,104,0.004113918906291898,-0.006898258228479417,0.4118647432040628,2.333993230730837,-0.037269964537589,35
10,extremes10,ens_lh,50,0.018463494284038102,0.35903265581722754,-0.12312042698853946,104,0.0035036468220420477,-0.003152186057643517,0.14942825698794593,1.3005369372046618,-0.07529348258911478,35
10,extremes20,logit,10,0.09988422495476008,0.5439057394491855,-0.1841460462422229,104,0.0021908188140179123,-0.010926976817312254,0.8512936969645735,3.130624041905193,-0.07799709676944842,35
10,extremes20,logit,25,0.010068142450844503,0.03265661960597735,-0.237229291367538,104,0.0019968025694534542,-0.003992732545692934,0.330811003578442,2.093639571485396,-0.060602885319883976,35
10,extremes20,logit,50,-0.030140340388941048,-0.41234022203898724,-0.24512021846804308,104,0.0021495982109615962,-0.0006487874724557814,0.05609528781191608,0.1834536784546689,-0.11124231805248516,35
10,extremes20,ens_lh,10,0.10124648045455432,0.5885532095834133,-0.36331760944949065,104,0.0028486111726022906,-0.01037729997458456,1.0146012971613136,3.250171688425317,-0.1160980338823976,35
10,extremes20,ens_lh,25,0.016187751911624224,0.13627018323549112,-0.2915242317306099,104,0.0025176705078567814,-0.0039575478978276825,0.4168509590396951,2.2184326769916374,-0.04316435731980675,35
10,extremes20,ens_lh,50,-0.001847891948807541,-0.13340079483979203,-0.23236662641318467,104,0.0023178630273418006,-0.002725955071959188,0.12790613912968515,0.7630805949067165,-0.12756451333259444,35
10,relative,logit,10,-0.0032612334945107124,0.0024728153926036403,-0.2942635584578501,104,-0.00046497680061067295,-0.00539662493596697,0.7393365678695977,2.3570845101247375,-0.10011614991553673,35
10,relative,logit,25,-0.049872042380536066,-0.5367491505144708,-0.32671143886746845,104,0.0006116490632507829,-0.000620728525595562,0.2684736346199892,1.074499286749956,-0.10054231798601307,35
10,relative,logit,50,-0.054476272118937914,-0.6374389725242802,-0.29383235410544467,104,0.0013350582473486874,0.00046809571710566415,0.044226320622679616,0.03814959098210332,-0.13591030966969425,35
10,relative,ens_lh,10,0.08667581366712397,0.26809727351999607,-0.4471627090226079,104,0.004219090201297456,-0.00785041881990286,0.9799100549308138,3.087079908650478,-0.10051868240098352,35
10,relative,ens_lh,25,0.019769067469325035,-0.181899639405806,-0.3805290437706939,104,0.003027483538129577,-0.003731966261023205,0.34814024179280767,2.0040936989570417,-0.09155112901836232,35
10,relative,ens_lh,50,-0.007380682734582804,-0.21254245784435563,-0.25615162497011695,104,0.0026403900337769316,-0.001964317685700623,0.10425696478672987,0.9746008168389007,-0.12326298612929312,35
21,extremes10,logit,10,0.1736234714456572,0.4410383280859244,-0.2935964821150071,49,0.0033987479930947164,-0.03203849724784816,0.7385736024131291,4.076965633235854,-0.027684668984277665,17
